ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
430,1,26,15.100000381469727,9.199999809265137,33.099998474121094,11.239999771118164,3.007923,42.926364
431,1,17,17.5,8.899999618530273,9.210000038146973,12.3100004196167,-7.444844,37.209731
432,1,NA,NA,NA,NA,NA,5.886644,51.928198
433,1,86,15.699999809265137,8,27.6299991607666,10.010000228881836,15.561915,41.913534
434,1,451,16.399999618530273,10.600000381469727,20.65999984741211,11.260000228881836,-4.742489,37.131595
435,1,6,17.399999618530273,9,9.970000267028809,11.350000381469727,-7.676389,37.07861
436,1,48,18.299999237060547,8.399999618530273,22.020000457763672,10.489999771118164,-4.45702,36.6705
437,1,37,17.299999237060547,7.099999904632568,13.569999694824219,11.800000190734863,-6.050761,36.61596
438,1,31,11.600000381469727,7.300000190734863,11.020000457763672,11.899999618530273,28.707249,44.492391
439,1,1090,22.899999618530273,16.200000762939453,2.2300000190734863,13.8100004196167,16.916701,-18.798524
440,1,41,17.899999618530273,8.100000381469727,10.010000228881836,11.930000305175781,-2.70239,36.694088
441,1,876,17.299999237060547,14.100000381469727,4.5,12.699999809265137,51.465894,35.309035
442,1,876,17.299999237060547,14.100000381469727,4.5,12.699999809265137,51.467247,35.310447
443,1,2,17.799999237060547,8.5,1.8700000047683716,13.640000343322754,-6.32256,36.84589
444,1,4,17.799999237060547,8.600000381469727,2.119999885559082,13.920000076293945,-6.338103,36.888263
445,1,11,18.100000381469727,10.300000190734863,3.7100000381469727,13.069999694824219,-6.184368,37.20152
446,1,30,18.399999618530273,8.800000190734863,13.430000305175781,11.729999542236328,18.149208,-33.170844
447,1,647,14.399999618530273,12.199999809265137,4.980000019073486,13.100000381469727,-3.210099,39.390135
448,1,31,9.399999618530273,7.699999809265137,1.809999942779541,13.550000190734863,6.699088,52.047119
449,1,31,9.399999618530273,7.699999809265137,1.809999942779541,13.550000190734863,6.69619,52.045002
450,1,31,9.399999618530273,7.699999809265137,1.809999942779541,13.550000190734863,6.698512,52.046429
451,1,48,18.299999237060547,8.399999618530273,22.020000457763672,10.489999771118164,-4.457057,36.67049
452,1,17,16.899999618530273,9.100000381469727,12.319999694824219,11.720000267028809,0.744521,40.767761
453,1,-1,16.899999618530273,8.699999809265137,0.4300000071525574,13.920000076293945,0.758057,40.733346
454,1,10,14.699999809265137,9.800000190734863,4.789999961853027,12.449999809265137,3.3485,43.2786
455,1,2,26.899999618530273,12.100000381469727,3.5899999141693115,13.630000114440918,55.322644,25.191265
456,1,686,14,12.100000381469727,4.289999961853027,12.890000343322754,-3.05369,39.513334
457,1,0,14.199999809265137,9.699999809265137,2.7899999618530273,13.8100004196167,4.783851,43.365407
458,1,686,14,12.100000381469727,4.289999961853027,12.890000343322754,-3.05369,39.513334
459,1,-1,13.399999618530273,7.800000190734863,4.510000228881836,13.640000343322754,12.1035,44.581056
460,1,108,16.299999237060547,8.699999809265137,72.08000183105469,8.9399995803833,18.365747,-34.133173
461,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.10367,42.206776
462,1,31,9.399999618530273,7.699999809265137,1.809999942779541,13.550000190734863,6.703989,52.047886
463,1,-1,13.5,7.5,NA,14.5,12.434822,45.000733
464,1,900,13.199999809265137,11.800000190734863,11.210000038146973,11.550000190734863,-1.562554,38.83952
465,1,-1,13.5,7.5,NA,14.5,12.434822,45.000733
466,1,NA,NA,NA,NA,NA,-8.698307,40.7249
467,1,1,14.100000381469727,10,2.2899999618530273,13.819999694824219,4.468983,43.593909
468,1,-1,13.5,7.5,NA,14.5,12.434822,45.000733
469,1,108,16.299999237060547,8.699999809265137,72.08000183105469,8.9399995803833,18.365821,-34.132126
470,1,19,17.200000762939453,9.100000381469727,13.390000343322754,11.109999656677246,-7.922059,37.015067
471,1,686,14,12.100000381469727,4.289999961853027,12.890000343322754,-3.05369,39.513334
472,1,17,17.5,8.899999618530273,9.210000038146973,12.3100004196167,-7.444051,37.212503
473,1,NA,NA,NA,NA,NA,22.773869,-34.021715
474,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.98396,38.703288
475,1,4,16.399999618530273,10.100000381469727,2.390000104904175,14.079999923706055,14.485867,-22.962946
476,1,-2,13.5,7.599999904632568,0.9700000286102295,14.279999732971191,12.240579,44.685784
477,1,33,17.100000381469727,9.100000381469727,14.90999984741211,11.130000114440918,-7.900206,37.019798
478,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.319718,39.339138
479,1,83,15.5,9.899999618530273,18.649999618530273,10.710000038146973,23.150469,40.669739
480,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.981423,38.743217
481,1,104,17.799999237060547,10.100000381469727,58.16999816894531,9.479999542236328,0.063562,38.64248
482,1,51,16.5,7.800000190734863,32.97999954223633,11.489999771118164,-9.039743,38.902205
483,1,4,18.200000762939453,9.300000190734863,5.5,11.699999809265137,-2.287664,35.099883
484,1,1,13.199999809265137,8.600000381469727,2.5399999618530273,14.020000457763672,12.347682,44.263549
485,1,4,17.799999237060547,8.600000381469727,2.119999885559082,13.920000076293945,-6.333374,36.852932
486,1,104,17.799999237060547,10.100000381469727,58.16999816894531,9.479999542236328,0.063562,38.64248
487,1,104,17.799999237060547,10.100000381469727,58.16999816894531,9.479999542236328,0.0633,38.642593
488,1,5,17.799999237060547,7.900000095367432,6.03000020980835,12.9399995803833,-6.9746880000000004,37.247047
489,1,266,16.399999618530273,11.600000381469727,8.399999618530273,12.399999618530273,-6.745199,38.686226
490,1,13,17.799999237060547,8,6.75,12.420000076293945,-6.970363,37.250327
491,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.985923,38.703318
492,1,13,17.799999237060547,8,6.75,12.420000076293945,-6.970305,37.251267
493,1,16,13,8.399999618530273,9.550000190734863,11.760000228881836,27.468238,42.571379
494,1,104,17.799999237060547,10.100000381469727,58.16999816894531,9.479999542236328,0.064527,38.644887
495,1,17,16.899999618530273,9.100000381469727,12.319999694824219,11.720000267028809,0.711865,40.786305
496,1,48,18.299999237060547,8.399999618530273,22.020000457763672,10.489999771118164,-4.455604,36.671039
497,1,24,14.5,9.5,9.9399995803833,11.84000015258789,10.799955,43.800085
498,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.096418,42.222492
499,1,0,14.199999809265137,9.800000190734863,4.03000020980835,13.960000038146973,4.433238,43.459163
500,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.101245,42.209932
501,0,549,21.700000762939453,16.600000381469727,14.109999656677246,12.970000267028809,25.875,24.791666666666636
502,0,4198,-2.0999999046325684,8.899999618530273,221.44000244140625,7.329999923706055,72.625,36.625
503,0,274,28.799999237060547,16.899999618530273,1.7699999809265137,13.84000015258789,-2.208333333333336,18.625
504,0,232,23.799999237060547,13.399999618530273,0.6800000071525574,13.449999809265137,74.70833333333334,32.125
505,0,830,24.399999618530273,11.600000381469727,10.029999732971191,11.970000267028809,28.958333333333336,3.125
506,0,378,11.5,9.199999809265137,26.18000030517578,10.819999694824219,7.541666666666666,45.2083333333333
507,0,376,28.899999618530273,15.399999618530273,1.559999942779541,14.529999732971191,34.291666666666664,18.541666666666636
508,0,147,27.799999237060547,12.300000190734863,3.7100000381469727,14.229999542236328,47.04166666666667,4.875
509,0,149,24.5,7.599999904632568,21.979999542236328,11.069999694824219,12.375,-5.5416666666667
510,0,14,6.699999809265137,11.100000381469727,1.2699999809265137,14.510000228881836,52.79166666666667,49.7083333333333
511,0,286,22.399999618530273,15.699999809265137,0.699999988079071,14.319999694824219,21.291666666666664,25.375
512,0,1693,17,15.399999618530273,0.9599999785423279,13.029999732971191,55.54166666666667,29.375
513,0,540,21.899999618530273,14.899999618530273,30.190000534057617,10.770000457763672,31.291666666666664,-20.708333333333357
514,0,1148,13.800000190734863,10.100000381469727,10.449999809265137,12.25,1.375,34.9583333333333
515,0,891,7.599999904632568,9.300000190734863,198.05999755859375,7.590000152587891,13.291666666666666,46.291666666666636
516,0,2406,5.599999904632568,12.199999809265137,90.160003662109375,8.020000457763672,47.958333333333336,38.375
517,0,407,28.5,15.199999809265137,2.869999885559082,13.640000343322754,0.208333333333332,21.041666666666636
518,0,8,16.600000381469727,5.400000095367432,NA,10.90999984741211,10.041666666666666,42.625
519,0,575,26,11.100000381469727,7.889999866485596,12.880000114440918,76.125,15.9583333333333
520,0,160,24.700000762939453,8.399999618530273,26.520000457763672,10.789999961853027,11.125,-3.5416666666667
521,0,1007,21.899999618530273,13.300000190734863,16.559999465942383,11.5,13.958333333333334,-17.125
522,0,161,11.100000381469727,9.399999618530273,35.709999084472656,9.989999771118164,26.791666666666664,43.2083333333333
523,0,163,22.100000381469727,14.899999618530273,7.159999847412109,13.069999694824219,6.041666666666666,31.9583333333333
524,0,2135,13.100000381469727,16.200000762939453,67.93000030517578,9.75,51.458333333333336,31.2083333333333
